rank,score,retrieval,x,y,yaw,pitch,hfov,mpp,road,center_road,boundary_edge,bad,gps_dist,gps_prior,yaw_prior,pitch_prior,hfov_prior,mpp_prior,camera_prior,shape,out
42,3.9300825236781067,0.1444004774093628,230,498,178.46777756084126,5.211497457535139,69.45907742171973,0.6020990674824503,0.8170399069786072,0.8343170285224915,0.7324145436286926,0.33399683237075806,0.0,1.0,0.9971137576706804,0.9944242059472473,0.9977166948122339,0.8157902213996698,0.9359770407197171,0.0,0.0
43,3.929788126921321,0.1649695336818695,230,498,178.40062104041485,5.090042540162099,68.70563485291116,0.6133997323721702,0.8188790678977966,0.8414161801338196,0.7206316590309143,0.32454368472099304,0.0,1.0,0.996340842346796,0.9989870559946327,0.9869963722282499,0.7778962676647165,0.9212932319625331,0.0,0.0
44,3.9296972574705173,0.1444004774093628,230,498,178.30245671654438,4.9736521571136345,67.75611758945246,0.5939013865424616,0.8134860396385193,0.8344697952270508,0.7329282164573669,0.33018848299980164,0.0,1.0,0.9950473394330573,0.9999132276618415,0.9614276131451451,0.8417971412530628,0.9343793273533497,0.0,0.0
45,3.9296560341905455,0.1649695336818695,230,498,178.79815937256257,5.70352026760706,69.46072174254331,0.5801178265828376,0.8107354044914246,0.82896888256073,0.7339389324188232,0.3389331102371216,0.0,1.0,0.999584375794819,0.9400073394089203,0.9977305397608612,0.8821717807132237,0.9399698866276683,0.0,0.0
46,3.9295280188797843,0.17184136807918549,230,498,178.082013769214,4.743011835808088,68.31111917530295,0.6086927489612792,0.817294180393219,0.839805006980896,0.7400310039520264,0.34034672379493713,0.0,1.0,0.9914378988392675,0.9917786173798099,0.9779627106805333,0.7939423656205821,0.9212278978936418,0.0,0.0
47,3.9295084000306533,0.15643778443336487,230,498,179.20528242046842,4.771726324954476,67.77477773723727,0.5952125594226781,0.8128619194030762,0.8261241912841797,0.7424486875534058,0.3407214879989624,0.0,1.0,0.999570083541052,0.993507558726193,0.9620542035065701,0.8377301823624249,0.9310973148650626,0.0,0.0
48,3.9294488398228964,0.1444004774093628,230,498,179.2295097699136,4.438329083055432,70.43378971015622,0.5914350584364071,0.8128481507301331,0.8302162885665894,0.7389465570449829,0.3393961191177368,0.0,1.0,0.9994626471351201,0.9613331332584863,0.9985309745083699,0.8493461380885128,0.936403415285123,0.0,0.0
49,3.929168978220214,0.1649695336818695,230,498,179.38514732688134,4.977746583859057,68.7422622034067,0.6102135787467446,0.8209308981895447,0.8385108709335327,0.7318254113197327,0.34066808223724365,0.0,1.0,0.9984874872123306,0.9999381000996351,0.9877174263588172,0.7887966385999465,0.9254840550194663,0.0,0.0
50,3.928812369634676,0.17184136807918549,230,498,179.68072593342615,5.142042540378094,67.7061344729434,0.6092051273638484,0.8242619037628174,0.8328750729560852,0.7307433485984802,0.33112624287605286,0.0,1.0,0.995282714603491,0.9974811671867486,0.9597255110670444,0.7922129897064585,0.916473222653417,0.0,0.0
51,3.9283877563580263,0.13793495297431946,230,498,178.60041736796697,5.0982284614963405,65.26753487821944,0.5904366351973653,0.8156746625900269,0.8377889394760132,0.7445453405380249,0.33079198002815247,0.0,1.0,0.9983720787503317,0.9987946232199043,0.8394817711545051,0.8523637605610316,0.8968800516451471,0.0,0.0
52,3.927840091132377,0.17184136807918549,230,498,178.7154497044906,5.636038230008232,71.10738865830035,0.6043048771287909,0.8189471960067749,0.8362962007522583,0.7240461707115173,0.3288305103778839,0.0,1.0,0.9991741282538865,0.9506892047326893,0.9904652031347247,0.8085680957063619,0.9165741678579252,0.0,0.0
53,3.927654595869324,0.15610791742801666,230,498,179.58093777701956,5.588052757424801,70.47227655293891,0.5767003337621748,0.8161838054656982,0.822432816028595,0.7338432669639587,0.337649405002594,0.0,1.0,0.9965621606954618,0.957695160529259,0.9982589771662242,0.8914542194246168,0.9491361190400333,0.0,0.0
54,3.9274865182701433,0.14521673321723938,230,498,179.29209286731546,4.604438959985557,69.31216512939802,0.6344232294127202,0.8256593942642212,0.843448281288147,0.7354210019111633,0.33160150051116943,0.0,1.0,0.9991297845395614,0.9806314608177862,0.996310597559309,0.7026320211586893,0.8931913598452614,0.0,0.0
55,3.9272906693880674,0.11020517349243164,230,498,179.18543447511337,4.828259439281073,69.7513620819885,0.5897349193817911,0.8143913149833679,0.8320430517196655,0.7417399883270264,0.3448545038700104,0.0,1.0,0.9996491845648184,0.9963199355714636,0.9995171415021961,0.8544711210012451,0.950102732691635,0.0,0.0
56,3.9271922287323706,0.17184136807918549,230,498,178.27828367842812,4.660536957974878,71.32797414734743,0.5963046845766103,0.8065199255943298,0.8332446813583374,0.7423744201660156,0.3455338180065155,0.0,1.0,0.9946990544660963,0.9856988523483099,0.9863170113160137,0.8343148913644759,0.9354435850095998,0.0,0.0
57,3.9271871318086315,0.17184136807918549,230,498,179.2721016719916,4.8060028040097675,67.2084142169258,0.6029642912222168,0.8188315033912659,0.8333069682121277,0.7341380715370178,0.33819305896759033,0.0,1.0,0.999244782056441,0.9953066841821536,0.9409338578064497,0.8129681190864537,0.916402887025019,0.0,0.0
58,3.927163883136561,0.12019231915473938,230,498,179.26585333926866,5.462339506904905,72.0,0.6241256329022549,0.8185369372367859,0.8418717384338379,0.7292575836181641,0.3148277997970581,0.0,1.0,0.9992790559439121,0.9736340861897345,0.9692332344763441,0.7401359875968482,0.8943344360876423,0.0,0.0
59,3.926526560353713,0.17184136807918549,230,498,179.361590352026,5.244476562420605,70.84881628955202,0.5914330023816996,0.8136765956878662,0.8279950022697449,0.7284667491912842,0.34004995226860046,0.0,1.0,0.9986667305875423,0.9925567405880855,0.9943869910891092,0.8493523752771035,0.9454320356514327,0.0,0.0
60,3.9265163415153252,0.1444004774093628,230,498,179.18638542879754,4.612380112432163,69.19376006373943,0.5881357353506362,0.8141233921051025,0.8308728933334351,0.7356385588645935,0.34415966272354126,0.0,1.0,0.9996455778420911,0.981394119637197,0.9949345693858029,0.859231451689855,0.9451867135709517,0.0,0.0
